ID,Name,Description,Price,Amount
30c07b70-333e-4797-9e39-34cdddf2153d,Log G529,Najchętniej kupowana mysz gamingowa na świecie w nowej wersji. Legendarna formuła która zdobyła serca graczy na całym świecie została wzbogacona o sensor HERO i podświetlenie LIGHTSYNC.,23900,320
0726a2b0-e368-4364-94e1-997103c7b328,SSD Lxar XA623,Szybki dysk SSD,26800,30
f45088ee-17eb-4125-99e7-d424c62d5996,Gigabit C540,Płyta główna gotowa do obsługi najnowszych procesorów.,37500,24
534c90a0-69d1-4a0d-b554-07c449b86312,LG 24,Komfortowe warunki do pracy i użytkowania multimediów zapewni monitor o rozdzielczości Full HD. To niemal uniwersalne rozwiązanie które pozwala na wygodną pracę biurową ale też graficzną lub projektową. Rozdzielczość Full HD (1920x1080) doskonale spisuje się także w grach oraz podczas oglądania filmów.,65000,25
bd2808f0-f60e-4dd0-80b7-d1fe9a0f410b,Triba 4TB,3.5-calowy wewnętrzny dysk twardy X300 firmy Triba przeznaczony do zastosowań profesjonalnych i komputerów do gier to niezawodna bardzo pojemna niezwykle wydajna pamięć masowa,61000,12
c3b441f3-2ddd-49b9-8af9-16d0e216362b,Gear GK540,Pełnowymiarowa wersja klawiatury mechanicznej dla użytkowników którzy cenią przede wszystkim funkcjonalność a zarazem klasyczny design.,27900,95
a56f172e-1fcf-4917-819d-8e69c1a87a72,TX 3065,Karta graficzna najnowszej technologii,310000,2
d22ddb14-a5d4-4119-ac6b-8ceb2ff5069b,Drukarka laserowa Canon LBP412AS,Przystępna cenowo monochromatyczna drukarka laserowa o niewielkich wymiarach do użytku w domu lub małym biurze. Cicha niezawodna wysoce wydajna energetycznie i o niskim poborze mocy — zapewnia dużą szybkość i wysoką jakość wydruków.,58900,45
38c6451e-de5b-4fef-aeb8-8be3bba7f04a,Logitech K120,Klawiatura typu "plug and play".,4999,130
c6942a4b-2124-4e92-bb0b-76358286814a,A5-40100A,Procesor stworzony z myślą o graczach.,79900,12
eacf2d23-40ca-42fe-b052-5b5790c9882a,HP24,Standardowy monitor ips,70000,5
6e4e0be6-072c-4075-a6e7-4a4944a54205,Drukarka laserowa HP M541A,Monochromatyczne drukarki laserowe pozwalają na drukowanie jedynie w czerni dlatego są idealnym wyborem dla użytkowników poszukujących optymalnej jakości i produktywności. Gwarantują wysoką prędkość druku znakomitą ostrość tekstu oraz trwałość dokumentów. Monochromatyczne drukarki laserowe doskonale sprawdzą się w małych przedsiębiorstwach usprawniając prace biurowe.,44900,30
